month,direction,hs2,label,value_usd,mom_pct,yoy_pct,captured_at
2026-01,IMPORT,80,TIN AND ARTICLES THEREOF,122526243,51.93,2.69,2026-04-27T23:05:12Z
2026-01,IMPORT,54,"MANMADE FILAMENTS, INCLUDING YARNS & WOVEN FA",121738305,4.95,-18.02,2026-04-27T23:05:12Z
2026-01,IMPORT,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,114307624,-17.45,-18.61,2026-04-27T23:05:12Z
2026-01,IMPORT,13,"LAC; GUMS, RESINS & OTHER VEGETABLE SAP & EXT",114159900,10.88,-36.87,2026-04-27T23:05:12Z
2026-01,IMPORT,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES TH,99686909,-7.77,-21.37,2026-04-27T23:05:12Z
2026-01,IMPORT,86,RAILWAY OR TRAMWAY STOCK ETC; TRAFFIC SIGNAL ,95660749,-12.73,-43.29,2026-04-27T23:05:12Z
2026-01,IMPORT,36,EXPLOSIVES; PYROTECHNICS; MATCHES; PYRO ALLOY,87671175,-10.51,-10.24,2026-04-27T23:05:12Z
2026-01,IMPORT,78,LEAD AND ARTICLES THEREOF,77193744,7.78,-25.80,2026-04-27T23:05:12Z
2026-01,IMPORT,05,"PRODUCTS OF ANIMAL ORIGIN, NESOI",76740626,-7.40,-22.04,2026-04-27T23:05:12Z
2026-01,IMPORT,58,SPEC WOV FABRICS; TUFTED FAB; LACE; TAPESTRIE,58642675,10.44,-12.28,2026-04-27T23:05:12Z
2026-01,IMPORT,52,"COTTON, INCLUDING YARN AND WOVEN FABRIC THERE",57961231,1.08,-4.37,2026-04-27T23:05:12Z
2026-01,IMPORT,60,KNITTED OR CROCHETED FABRICS,52550518,-1.68,-21.92,2026-04-27T23:05:12Z
2026-01,IMPORT,46,"MFR OF STRAW, ESPARTO ETC.; BASKETWARE & WICK",50611465,8.97,-9.60,2026-04-27T23:05:12Z
2026-01,IMPORT,66,"UMBRELLAS, WALKING-STICKS, RIDING-CROPS ETC, ",49540521,14.96,-40.03,2026-04-27T23:05:12Z
2026-01,IMPORT,41,RAW HIDES AND SKINS (NO FURSKINS) AND LEATHER,28304832,-19.59,-16.05,2026-04-27T23:05:12Z
2026-01,IMPORT,45,CORK AND ARTICLES OF CORK,20975202,-4.14,-16.90,2026-04-27T23:05:12Z
2026-01,IMPORT,51,"WOOL & ANIMAL HAIR, INCLUDING YARN & WOVEN FA",20401122,-3.74,0.30,2026-04-27T23:05:12Z
2026-01,IMPORT,53,VEG TEXT FIB NESOI; VEG FIB & PAPER YNS & WOV,18980109,12.04,-5.77,2026-04-27T23:05:12Z
2026-01,IMPORT,43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THE,14050492,-9.80,-16.51,2026-04-27T23:05:12Z
2026-01,IMPORT,14,VEGETABLE PLAITING MATERIALS & PRODUCTS NESOI,13266755,-43.53,-8.80,2026-04-27T23:05:12Z
2026-01,IMPORT,50,"SILK, INCLUDING YARNS AND WOVEN FABRIC THEREO",4426370,-4.27,-7.32,2026-04-27T23:05:12Z
