country,iso3,indicator,year,value_pct,yoy_delta,captured_at
AZQ,AZQ,cpi_infl_pct,2028,2.500,-0.500,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2029,2.500,+0.000,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2030,2.400,-0.100,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2031,2.400,+0.000,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2016,5.600,+0.100,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2017,15.800,+10.200,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2018,-2.800,-18.600,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2019,-0.800,+2.000,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2020,7.500,+8.300,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2021,8.400,+0.900,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2022,18.900,+10.500,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2023,27.100,+8.200,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2024,20.200,-6.900,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2025,34.200,+14.000,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2026,14.500,-19.700,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2027,15.300,+0.800,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2028,13.500,-1.800,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2029,12.800,-0.700,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2030,10.700,-2.100,2026-04-27T23:10:43Z
BDI,BDI,cpi_infl_pct,2031,9.800,-0.900,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2016,1.800,+1.200,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2017,2.200,+0.400,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2018,2.300,+0.100,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2019,1.200,-1.100,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2020,0.400,-0.800,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2021,3.200,+2.800,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2022,10.300,+7.100,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2023,2.300,-8.000,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2024,4.300,+2.000,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2025,3.000,-1.300,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2026,2.800,-0.200,2026-04-27T23:10:43Z
BEL,BEL,cpi_infl_pct,2027,2.200,-0.600,2026-04-27T23:10:43Z
