country,iso2,period,hicp_annual_pct,mom_delta,captured_at
Ireland,IE,2024-09,0.00,-1.10,2026-04-27T23:10:44Z
Ireland,IE,2024-10,0.10,+0.10,2026-04-27T23:10:44Z
Ireland,IE,2024-11,0.50,+0.40,2026-04-27T23:10:44Z
Ireland,IE,2024-12,1.00,+0.50,2026-04-27T23:10:44Z
Ireland,IE,2025-01,1.70,+0.70,2026-04-27T23:10:44Z
Ireland,IE,2025-02,1.40,-0.30,2026-04-27T23:10:44Z
Ireland,IE,2025-03,1.80,+0.40,2026-04-27T23:10:44Z
Ireland,IE,2025-04,2.00,+0.20,2026-04-27T23:10:44Z
Ireland,IE,2025-05,1.40,-0.60,2026-04-27T23:10:44Z
Ireland,IE,2025-06,1.60,+0.20,2026-04-27T23:10:44Z
Ireland,IE,2025-07,1.60,+0.00,2026-04-27T23:10:44Z
Ireland,IE,2025-08,1.90,+0.30,2026-04-27T23:10:44Z
Ireland,IE,2025-09,2.70,+0.80,2026-04-27T23:10:44Z
Ireland,IE,2025-10,2.80,+0.10,2026-04-27T23:10:44Z
Ireland,IE,2025-11,3.10,+0.30,2026-04-27T23:10:44Z
Ireland,IE,2025-12,2.70,-0.40,2026-04-27T23:10:44Z
Italy,IT,2023-01,10.70,,2026-04-27T23:10:44Z
Italy,IT,2023-02,9.80,-0.90,2026-04-27T23:10:44Z
Italy,IT,2023-03,8.10,-1.70,2026-04-27T23:10:44Z
Italy,IT,2023-04,8.60,+0.50,2026-04-27T23:10:44Z
Italy,IT,2023-05,8.00,-0.60,2026-04-27T23:10:44Z
Italy,IT,2023-06,6.70,-1.30,2026-04-27T23:10:44Z
Italy,IT,2023-07,6.30,-0.40,2026-04-27T23:10:44Z
Italy,IT,2023-08,5.50,-0.80,2026-04-27T23:10:44Z
Italy,IT,2023-09,5.60,+0.10,2026-04-27T23:10:44Z
Italy,IT,2023-10,1.80,-3.80,2026-04-27T23:10:44Z
Italy,IT,2023-11,0.60,-1.20,2026-04-27T23:10:44Z
Italy,IT,2023-12,0.50,-0.10,2026-04-27T23:10:44Z
Italy,IT,2024-01,0.90,+0.40,2026-04-27T23:10:44Z
Italy,IT,2024-02,0.80,-0.10,2026-04-27T23:10:44Z
Italy,IT,2024-03,1.20,+0.40,2026-04-27T23:10:44Z
Italy,IT,2024-04,0.90,-0.30,2026-04-27T23:10:44Z
Italy,IT,2024-05,0.80,-0.10,2026-04-27T23:10:44Z
Italy,IT,2024-06,0.90,+0.10,2026-04-27T23:10:44Z
