category_code,data_type_code,period,value_thousand,mom_pct,yoy_pct,captured_at
AUTHNOTSTD,TOTAL,2026-01,252,-3.45,-10.95,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-02,956,,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-03,935,-2.20,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-04,919,-1.71,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-05,904,-1.63,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-06,895,-1.00,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-07,888,-0.78,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-08,860,-3.15,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-09,826,-3.95,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-10,804,-2.66,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-11,781,-2.86,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2024-12,769,-1.54,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-01,746,-2.99,,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-02,745,-0.13,-22.07,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-03,749,0.54,-19.89,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-04,743,-0.80,-19.15,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-05,721,-2.96,-20.24,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-06,703,-2.50,-21.45,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-07,698,-0.71,-21.40,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-08,684,-2.01,-20.47,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-09,700,2.34,-15.25,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-10,694,-0.86,-13.68,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-11,693,-0.14,-11.27,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2025-12,675,-2.60,-12.22,2026-04-27T23:10:23Z
UNDERCONST,MULTI,2026-01,667,-1.19,-10.59,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-02,680,,,2026-04-27T23:10:23Z
UNDERCONST,SINGLE,2024-03,690,1.47,,2026-04-27T23:10:23Z
