kind,ticker,cik,company,file_date,accession_id,captured_at
special_dividend,MOVE,0001734750,Movano Inc.,2026-03-19,0001213900-26-031846,2026-04-27T22:50:37Z
special_dividend,LNT,0000352541,ALLIANT ENERGY CORP,2026-03-19,0001193125-26-116244,2026-04-27T22:50:37Z
warrant_exercise,SWMR,0002092574,"Swarmer, Inc",2026-03-18,0001104659-26-031244,2026-04-27T22:50:37Z
warrant_exercise,LASE,0001807887,Laser Photonics Corp,2026-03-18,0001493152-26-010669,2026-04-27T22:50:37Z
special_dividend,UUUU,0001385849,ENERGY FUELS INC,2026-03-18,0001062993-26-001527,2026-04-27T22:50:37Z
warrant_exercise,VRSSF,0001879001,Verses AI Inc.,2026-03-17,0001493152-26-010465,2026-04-27T22:50:37Z
warrant_exercise,CYN,0001874097,Cyngn Inc.,2026-03-17,0001213900-26-029129,2026-04-27T22:50:37Z
spinoff,THRM,0000903129,Gentherm Inc,2026-03-17,0001193125-26-111187,2026-04-27T22:50:37Z
spinoff,INDV,0001625297,"Indivior Pharmaceuticals, Inc.",2026-03-17,0001625297-26-000015,2026-04-27T22:50:37Z
special_dividend,SCOR,0001158172,"COMSCORE, INC.",2026-03-17,0001158172-26-000003,2026-04-27T22:50:37Z
special_dividend,RKLB,0001819994,Rocket Lab Corp,2026-03-17,0001628280-26-018789,2026-04-27T22:50:37Z
special_dividend,MKTW,0001805651,"MARKETWISE, INC.",2026-03-17,0001805651-26-000026,2026-04-27T22:50:37Z
warrant_exercise,MTAL,0002107724,Metals Acquisition Corp. II,2026-03-16,0001213900-26-028425,2026-04-27T22:50:37Z
spinoff,HON,0000773840,HONEYWELL INTERNATIONAL INC,2026-03-16,0001193125-26-108366,2026-04-27T22:50:37Z
warrant_exercise,KCAC-UN,0002102713,Kensington Capital Acquisition Corp. VI,2026-03-13,0001193125-26-106199,2026-04-27T22:50:37Z
spinoff,FFIV,0001048695,"F5, INC.",2026-03-13,0001048695-26-000036,2026-04-27T22:50:37Z
special_dividend,TRUG,0001857086,"TruGolf Holdings, Inc.",2026-03-13,0001493152-26-010064,2026-04-27T22:50:37Z
