ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,filed_current,accn_current,captured_at
LEDS,SemiLEDs Corp,0001333822,CY2025Q4,2569000,CY2024Q4,1261000,103.73,,0001193125-26-012226,2026-04-27T23:04:08Z
UPXI,"UPEXI, INC.",0001775194,CY2025Q4,8052040,CY2024Q4,4005492,101.02,,0001477932-26-000736,2026-04-27T23:04:08Z
VRDR,"Verde Resources, Inc.",0001506929,CY2025Q4,4679,CY2024Q4,2423,93.11,,0001640334-26-000312,2026-04-27T23:04:08Z
MUX,McEWEN INC.,0000314203,CY2025Q4,64623000,CY2024Q4,33523000,92.77,,0001104659-26-028705,2026-04-27T23:04:08Z
CIIT,"TIANCI INTERNATIONAL, INC.",0001557798,CY2025Q4,3884684,CY2024Q4,2079203,86.84,,0001683168-26-001736,2026-04-27T23:04:08Z
ATCHW,"AtlasClear Holdings, Inc.",0001963088,CY2025Q4,5057094,CY2024Q4,2746499,84.13,,0001493152-26-006549,2026-04-27T23:04:08Z
VUZI,Vuzix Corp,0001463972,CY2025Q4,2243000,CY2024Q4,1272000,76.34,,0001104659-26-027163,2026-04-27T23:04:08Z
BG,BUNGE GLOBAL SA,0001996862,CY2025Q4,23762000000,CY2024Q4,13542000000,75.47,,0001628280-26-009842,2026-04-27T23:04:08Z
STEP,STEPSTONE GROUP INC.,0001796022,CY2025Q4,586511000,CY2024Q4,339023000,73.00,,0001628280-26-005769,2026-04-27T23:04:08Z
POCI,"PRECISION OPTICS CORPORATION, INC.",0000867840,CY2025Q4,7367837,CY2024Q4,4526907,62.76,,0001683168-26-001109,2026-04-27T23:04:08Z
DBMM,"DIGITAL BRAND MEDIA & MARKETING GROUP, INC.",0001127475,CY2025Q4,47017,CY2024Q4,28973,62.28,,0001185185-26-000156,2026-04-27T23:04:08Z
HCIIP,"HCI Group, Inc.",0001400810,CY2025Q4,246243000,CY2024Q4,161875000,52.12,,0001193125-26-076743,2026-04-27T23:04:08Z
HP,"HELMERICH & PAYNE, INC.",0000046765,CY2025Q4,1017026000,CY2024Q4,677302000,50.16,,0000046765-26-000012,2026-04-27T23:04:08Z
LPG,DORIAN LPG LTD.,0001596993,CY2025Q4,119964287,CY2024Q4,80666779,48.72,,0001596993-26-000007,2026-04-27T23:04:08Z
ALTX,ALTEX INDUSTRIES INC,0000775057,CY2025Q4,7000,CY2024Q4,5000,40.00,,0001096906-26-000177,2026-04-27T23:04:08Z
SNEX,StoneX Group Inc.,0000913760,CY2025Q4,39029900000,CY2024Q4,27935300000,39.72,,0000913760-26-000017,2026-04-27T23:04:08Z
PIPR,PIPER SANDLER COMPANIES,0001230245,CY2025Q4,666992000,CY2024Q4,485384000,37.42,,0001230245-26-000013,2026-04-27T23:04:08Z
FN,FABRINET,0001408710,CY2025Q4,1132888000,CY2024Q4,833608000,35.90,,0001408710-26-000008,2026-04-27T23:04:08Z
UI,UBIQUITI INC.,0001511737,CY2025Q4,814867000,CY2024Q4,599879000,35.84,,0001511737-26-000014,2026-04-27T23:04:08Z
TAYD,"Taylor Devices, Inc.",0000096536,CY2025Q4,11603472,CY2024Q4,8548881,35.73,,0001376474-25-000988,2026-04-27T23:04:08Z
